id,rt,mz,Ion_Adduct_Identity,IIN_Group_ID,Final_Annotations,smiles,inchi_key,Annotation_Preferred,Annotation_Spectral,number of aligned features,fragment_scans,spectral_similarity,F1_P1-B-2_1_4842,F2_P1-B-3_1_4843,F3_2_P1-B-4_1_4845,F3_3_P1-B-4_1_4846,F3_P1-B-4_1_4844,LL1_P1-C-2_1_4847,LL2_P1-C-3_1_4848,LL3_2_P1-C-4_1_4850,LL3_3_P1-C-4_1_4851,LL3_P1-C-4_1_4849
126,0.9701,593.42437,,,,,,,,1,0,,2680,1680,2830,2690,3300,,,,,
127,0.9597,607.95884,[M+NH4]+,5,,,,,,1,0,,10200,4150,9200,9140,8550,,,,,
134,0.9691,248.25826,[M+NH4]+,14,,,,,,10,0,,2810,3480,3130,3350,2920,7040,6910,7150,6940,7060
136,0.9709,652.47245,,,,,,,,2,0,,1670,969,1440,2040,1560,,,,,
137,0.9675,564.90506,,,,,,,,2,0,,2220,1510,2510,2090,2420,,,,,
138,0.9675,608.9494,,,,,,,,4,0,,2480,1430,2830,2980,2450,,,,,
149,0.9688,586.93458,,,,,,,,4,0,,3500,2160,3580,2630,3170,,,,,
155,0.9612,622.44626,[2M+H]+,3,,,,,,1,0,,1890,1120,1960,1710,1670,,,,,
156,0.9678,622.96224,,,,,,,,1,0,,1590,962,1600,1680,1910,,,,,
157,0.9712,364.34132,[M+NH4]+,17,,,,,,5,0,,919,579,601,811,1140,2100,2130,2040,1700,1750
160,0.9725,637.96958,,,,,,,,2,0,,3490,1280,2020,2300,1910,,,,,
168,0.9742,225.08899,,,,,,,,1,0,,,,,,,,,607,1540,
173,0.9739,630.9615,,,,,,,,3,0,,1780,1300,1610,1890,1960,,,,,
179,0.9691,681.99473,,,,,,,,1,0,,1600,,927,762,744,,,,,
186,0.9754,231.23167,[M+H]+,14,,,,,,10,0,,3110,2810,2720,2740,3200,6080,7470,6640,6110,6830
190,0.9764,548.90161,,,,,,,,5,0,,4020,2140,3290,3620,3390,,,,,
196,0.9769,199.07275,,,,,,,,5,0,,,,,,,3510,2950,5140,22100,
198,0.9778,615.95625,,,,,,,,2,0,,5560,1730,2640,2820,2350,,,,,
203,0.9778,491.37258,,,,,,,,6,0,,10900,7120,8690,8280,8470,,,,,
204,0.9778,535.39899,,,,,,,,6,0,,11300,5340,8630,8200,7840,,,,,
205,0.9778,593.44075,,,,,,,,6,0,,8210,2390,4830,5330,4890,,,,,
206,0.974,637.4706,[M-H2O-e]+,19,,,,,,3,0,,5140,1650,3350,3080,3510,,,,,
208,0.9804,513.38301,,,,,,,,3,0,,11900,9390,8820,8650,9770,,,,,
209,1.0028,299.16254,,,,,,,,5,2,,657,,525,596,,11300,10100,16800,88700,1280
210,0.9791,623.45226,[M-H2O-e]+,22,,,,,,5,0,,4460,2080,3050,3550,3080,,,,,
219,0.9791,550.40522,[M+Na]+,21,,,,,,3,0,,6870,5070,6700,7110,7680,,,,,
222,0.9887,301.21565,[M+NH4]+,29,,,,,,10,0,,8610,7700,7400,7490,7950,8580,13500,10800,10400,10200
240,0.9804,284.18874,[M+H]+,29,,,,,,7,0,,9820,8120,9650,8440,9100,9530,17100,13100,13100,13100
241,0.981,187.02701,,,,,,,,10,0,,1990,1630,2230,1930,1810,4830,6090,5090,4520,5340
244,0.9803,519.87961,,,,,,,,6,0,,6190,4470,6250,6550,5780,,,,,
247,0.9931,630.45379,,,,,,,,1,0,,4710,3220,3750,3770,3870,,,,,
248,0.9739,659.98186,,,,,,,,1,0,,2460,725,1030,1410,1440,,,,,
249,0.9847,638.45969,,,,,,,,2,0,,1670,926,1650,1550,1540,,,,,
1666,1.6646,100.07574,,,"ALIGN_NIST23_(3R)-1-[(3-Phenyl-1,2,4-oxadiazol-5-yl)methyl]-3-pyrrolidinol",CCCCCCCCCCCC(NCCC[N+](C)(C)[O-])=O,JNGWKQJZIUZUPR-UHFFFAOYSA-N,"ALIGN_NIST23_(3R)-1-[(3-Phenyl-1,2,4-oxadiazol-5-yl)methyl]-3-pyrrolidinol","ALIGN_NIST23_(3R)-1-[(3-Phenyl-1,2,4-oxadiazol-5-yl)methyl]-3-pyrrolidinol",11,82,0.858,848000,824000,276000,294000,292000,696000,673000,668000,753000,743000
262,0.9842,356.38839,,,,,,,,5,27,,,,,,,42600,36500,78800,71500,73200
265,0.9854,579.42745,[M-H2O+H]+,24,,,,,,4,0,,8150,4920,6650,6720,7310,,,,,
266,0.9829,412.34207,[M+NH4]+,26,,,,,,6,0,,24600,18300,13400,14700,14500,,,,,
270,0.9828,601.94073,,,,,,,,3,0,,4420,1840,3150,3330,3110,,,,,
271,0.9711,570.42269,[M-e]+,18,,,,,,3,0,,9120,4950,8830,7930,7740,,,,,
274,0.9841,395.31541,[M+H]+,26,,,,,,6,0,,5900,4800,4210,4300,4310,,,,,
279,0.9829,615.45267,[M-e]+,25,,,,,,2,0,,7890,3620,4610,4840,4490,,,,,
280,0.9906,469.35094,,,,,,,,2,0,,17400,13600,12100,12600,11400,,,,,
283,0.9842,572.41793,,,,,,,,5,0,,7440,5340,6450,6690,6180,,,,,
285,0.9874,355.2144,,,,,,,,10,0,,2350,2890,2990,2510,2630,6220,7140,5660,5880,6020
1683,1.6779,181.07198,,,ALIGN_NIST23_7-Theophyllineacetic acid,CCCCCCCCCCCC(NCCC[N+](C)(C)[O-])=O,JNGWKQJZIUZUPR-UHFFFAOYSA-N,"ALIGN_GNPS_Massbank:AU111402 Theophyllin|Theophylline|1,3-dimethyl-7H-purine-2,6-dione","ALIGN_GNPS_Massbank:AU111402 Theophyllin|Theophylline|1,3-dimethyl-7H-purine-2,6-dione",1,4,0.842,6890,7630,1240,1240,1370,650000,787000,635000,746000,727000
290,0.9857,292.28435,[M+NH4]+,35,,,,,,5,0,,1190,1530,1200,1580,1570,3170,3970,3620,3330,3760
293,0.9841,550.90689,,,,,,,,2,0,,4730,3530,3540,3770,3980,,,,,
296,0.9816,579.92787,,,,,,,,1,0,,6530,2710,4450,4560,4440,,,,,
298,0.9854,456.36835,[M+NH4]+,36,,,,,,6,10,,108000,72100,54800,56000,58500,,,,,
300,0.9856,514.41432,,,,,,,,6,0,,7140,4600,3470,3800,3630,6350,4390,606,,726
303,0.9862,616.94578,,,,,,,,3,0,,1570,1200,1680,1640,1540,,,,,
304,0.9841,594.43119,,,,,,,,5,0,,3890,2870,3850,3980,3860,,,,,
306,0.988,557.41127,[M+H]+,39,,,,,,4,0,,11000,6090,9120,8600,9350,,,,,
307,0.9868,328.35715,,,,,,,,5,5,,,,,,,13100,11700,24000,24500,26800
309,0.9867,500.39452,[M+NH4]+,40,,,,,,6,44,,328000,204000,156000,162000,150000,,,,,
311,0.9874,275.25799,[M+H]+,35,,,,,,12,2,,6130,6170,6240,6920,6760,16700,20700,17600,17600,17700
318,0.9893,499.87184,,,,,,,,2,0,,3520,3020,3420,3590,5020,,,,,
320,0.9831,645.96634,,,,,,,,1,0,,2500,816,1220,1560,1340,,,,,
324,0.988,439.34191,[M+H]+,36,,,,,,6,24,,160000,113000,81400,86400,78200,,,,,
332,0.9996,460.84532,,,,,,,,1,0,,2850,1730,1490,1420,1610,,,,,
334,0.9815,586.43112,,,,,,,,1,0,,8280,4490,6620,6300,7360,,,,,
335,0.9832,667.47841,,,,,,,,1,0,,1990,1250,1450,1090,1240,,,,,
344,0.988,442.35247,[M-e]+,43,,,,,,1,0,,13400,10800,8280,8660,8200,,,,,
347,0.9893,544.42076,,,,,,,,6,36,,282000,161000,123000,142000,135000,,,,,
348,0.9853,527.39358,,,,,,,,6,0,,20900,13900,10900,12400,12300,570,,,,
352,0.9872,408.36763,,,,,,,,5,0,,1270,768,1010,879,955,3400,3770,3020,2790,2670
357,0.9739,564.40471,,,,,,,,1,0,,4610,2970,3830,4550,3320,,,,,
360,0.9931,565.41024,[M-H2O-e]+,41,,,,,,5,0,,5170,3390,5580,5820,5790,,,,,
368,0.9944,609.43717,,,,,,,,5,0,,2370,1670,2280,2620,2460,,,,,
372,0.9931,300.32604,,,,,,,,5,33,,,,,,,102000,73100,187000,176000,190000
374,0.9945,486.37878,,,,,,,,3,0,,44300,32600,25200,26200,27900,,,,,
375,0.9919,587.92528,,,,,,,,1,0,,2310,1700,2710,3010,2200,,,,,
377,0.9931,588.44697,,,,,,,,6,26,,219000,127000,96900,107000,97800,,,,,
381,0.9944,530.40501,,,,,,,,6,0,,48100,29600,27500,27400,26000,,,,,
383,0.9944,632.47314,,,,,,,,6,18,,130000,73400,59900,65600,57700,,,,,
384,0.9944,676.49973,,,,,,,,6,0,,49200,26700,24400,24100,24300,,,,,
398,0.9958,574.43126,,,,,,,,6,0,,37500,24800,23200,21900,23800,,,,,
406,0.9996,561.41892,[M+H]+,58,,,,,,1,0,,8390,5830,6050,6160,5990,,,,,
412,0.9983,662.48382,,,,,,,,5,0,,12000,7220,6850,7400,6850,,,,,
413,1.006,720.52441,,,,,,,,5,0,,10900,5620,5580,5950,5810,,,,,
437,0.9996,618.45849,[M+NH4]+,48,,,,,,6,0,,26100,15400,14600,15100,15100,,,,,
441,1.0009,516.38943,,,,,,,,6,0,,31800,23000,21200,20100,20700,,,,,
445,1.0022,604.44222,[M+NH4]+,59,,,,,,5,0,,16000,10100,12000,11600,12900,,,,,
450,0.9996,558.90423,,,,,,,,5,0,,2890,2170,3060,3220,2920,,,,,
451,1.0021,648.46858,,,,,,,,5,0,,8500,4730,5060,5410,5880,,,,,
452,1.0021,706.51064,,,,,,,,5,0,,3780,1790,2320,2080,2190,,,,,
453,1.0028,317.26816,,,,,,,,2,0,,1030,1050,863,1140,883,1520,1680,1430,1550,1570
470,1.0034,560.41675,[M+NH4]+,65,,,,,,5,0,,25000,15300,15700,17300,16900,,,,,
474,1.0035,272.29462,,,,,,,,5,5,,,,,,,11200,8290,19300,19500,21000
480,0.994,764.55105,,,,,,,,1,0,,2490,1450,1430,1630,1780,,,,,
490,1.0059,551.39489,,,,,,,,5,0,,4430,3710,3890,4610,4160,,,,,
498,1.0207,443.26945,,,,,,,,2,0,,879,937,1070,873,904,1830,1660,1460,1390,1990
500,1.0042,460.29329,,,,,,,,6,0,,1700,1540,1910,1760,1720,6910,6060,6750,6270,6240
502,1.0032,692.4953,,,,,,,,3,0,,2330,1500,1970,1620,1950,,,,,
548,1.0137,504.31971,,,,,,,,6,0,,1610,1220,1550,1550,1520,4360,3910,3760,3500,3940
1737,1.7503,240.23219,,,"ALIGN_NIST23_Dodecanamide,N-[3-(dimethyloxidoamino)propyl]",CCCCCCCCCCCC(NCCC[N+](C)(C)[O-])=O,JNGWKQJZIUZUPR-UHFFFAOYSA-N,"ALIGN_NIST23_Dodecanamide,N-[3-(dimethyloxidoamino)propyl]","ALIGN_NIST23_Dodecanamide,N-[3-(dimethyloxidoamino)propyl]",5,30,0.932,13300,8500,6910,40400,6130,535000,517000,537000,610000,560000
571,1.0157,101.09608,,,,,,,,3,0,,2900,3290,8480,4130,4030,828,664,1190,4040,
2976,7.8356,182.0811,[M+H]+,246,INHOUSE_TYROSINE,CCCCCCCCCCCC(NCCC[N+](C)(C)[O-])=O,JNGWKQJZIUZUPR-UHFFFAOYSA-N,ALIGN_GNPS_Tyrosine - 50.00 eV,ALIGN_GNPS_Tyrosine - 50.00 eV,10,156,0.992,541000,605000,584000,553000,585000,372000,386000,399000,425000,393000
1649,1.6758,240.23231,,,"ALIGN_NIST23_Dodecanamide,N-[3-(dimethyloxidoamino)propyl]",CCCCCCCCCCCC(NCCC[N+](C)(C)[O-])=O,JNGWKQJZIUZUPR-UHFFFAOYSA-N,"ALIGN_NIST23_Dodecanamide,N-[3-(dimethyloxidoamino)propyl]","ALIGN_NIST23_Dodecanamide,N-[3-(dimethyloxidoamino)propyl]",7,26,0.803,493000,351000,239000,280000,249000,,,,582000,
728,1.0292,216.23207,,,,,,,,1,0,,,,,,,1110,1110,1510,1640,1790
3118,8.1852,169.03555,[M+NH4]+,273,INHOUSE_URATE,CCCCCCCCCCCC(NCCC[N+](C)(C)[O-])=O,JNGWKQJZIUZUPR-UHFFFAOYSA-N,INHOUSE_URATE,INHOUSE_URATE,10,184,0.962,316000,310000,285000,322000,294000,450000,479000,462000,451000,490000
802,1.0489,453.16694,[M+K]+,119,,,,,,5,0,,1710,2710,1930,1530,1510,,,,,
852,1.0625,585.2697,,,,,,,,5,0,,2260,1850,1860,1710,1600,776,1040,1110,1220,1120
903,1.0834,299.14025,,,,,,,,10,0,,5370,5200,4930,5320,4650,4740,5810,6870,6340,7920
949,1.0952,405.29888,,,,,,,,3,0,,2050,2480,2850,2730,2770,,,,,
982,1.0941,275.12757,,,,,,,,10,0,,1920,2200,2340,2160,1880,2010,2070,2310,2140,2310
988,1.0938,293.13789,,,,,,,,10,0,,3540,3420,3330,3560,3030,3170,3160,3350,3250,3300
1024,1.1033,389.02572,,,,,,,,1,0,,,,,,,2900,1300,961,827,778
1301,1.2742,195.08768,,,ALIGN_GNPS_CAFFEINE - 50.0 eV,CN1C=NC2=C1C(N(C)C(N2C)=O)=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,ALIGN_GNPS_CAFFEINE - 50.0 eV,ALIGN_GNPS_CAFFEINE - 50.0 eV,10,79,0.998,428000,435000,159000,160000,132000,407000,413000,349000,404000,454000
1046,1.0823,484.36923,,,,,,,,1,0,,2540,1120,8550,2160,5390,,,,,
1058,1.1214,257.21101,,,,,,,,9,3,,810,3770,3190,3140,3310,22400,13900,1910,1640,1500
1059,1.1136,183.17407,,,,,,,,2,1,,888,1680,1280,1580,1310,7110,5040,1480,1000,1060
1066,1.1276,331.24764,,,,,,,,12,28,,2580,14000,10500,11500,12300,63700,36900,3810,3510,3940
1069,1.1113,349.25802,,,,,,,,2,2,,4270,3990,5580,3590,3850,6520,4430,690,795,907
1072,1.1298,155.01025,,,,,,,,1,0,,,,,,,1080,1110,1550,1110,1880
1082,1.193,341.13651,,,,,,,,1,0,,582,795,1050,886,951,2000,,,,
1083,1.1414,530.4006,,,,,,,,1,0,,7580,703,915,506,607,,,,,
1096,1.1549,233.099,,,,,,,,3,0,,632,556,1740,1720,1740,,,633,,
1097,1.1435,265.12789,,,,,,,,3,0,,,,2100,2310,2270,,,,,
1117,1.1315,205.10623,[2M+Na]+,141,,,,,,2,0,,679,754,3270,2680,2900,,,,,
1121,1.1652,273.16742,,,,,,,,6,7,,1790,1770,18700,18000,17500,,562,518,,
1126,1.156,289.14168,,,,,,,,3,0,,906,1280,5520,5460,5130,,,,,
1128,1.161,135.10147,,,,,,,,4,0,,1610,1670,6870,7150,7810,,,,,
1131,1.1643,184.09011,,,,,,,,4,0,,,,,,,1520,3680,3570,3650,3970
1137,1.1701,216.11295,,,,,,,,8,13,,4110,4670,4230,4710,4550,6820,6570,6890,6010,6720
1147,1.1679,302.13883,,,,,,,,2,0,,1100,1060,717,837,800,1620,1580,1340,1430,1470
1148,1.1772,361.20036,,,,,,,,7,0,,1950,1670,1960,1730,1410,1580,1950,1860,1720,1710
1161,1.1809,325.14126,,,,,,,,1,0,,1110,1150,1670,1480,1540,,,,,
1170,1.2153,308.2217,,,,,,,,3,0,,846,693,3630,3270,3330,503,,,,535
1190,1.1855,239.17458,,,,,,,,10,0,,2730,2410,2510,2350,3150,2130,1780,2010,1710,2050
1227,1.2139,193.10658,,,,,,,,3,0,,512,,6040,5450,5080,,,,,
1235,1.221,183.14903,,,,,,,,4,0,,1600,1570,1540,1300,1760,1360,1300,1440,1720,1650
2869,7.5894,116.07054,,,ALIGN_GNPS_Proline,C1CC(C(O)=O)NC1,ONIBWKKTOPOVIA-UHFFFAOYSA-N,INHOUSE_PROLINE,INHOUSE_PROLINE,11,120,0.998,418000,452000,401000,369000,428000,262000,303000,333000,328000,313000
1251,1.2377,179.12652,,,,,,,,3,0,,1140,1220,3540,3760,3650,829,,554,,
1254,1.2287,327.21622,,,,,,,,10,0,,2640,2420,2090,1930,2020,2250,1920,1930,1800,1890
1264,1.2588,357.19003,,,,,,,,1,0,,576,599,1440,1870,1590,504,,,,
1558,1.5633,283.17515,,,ALIGN_NIST23_Hexaethylene glycol,CCCCCCCCCCCC(NCCC[N+](C)(C)[O-])=O,JNGWKQJZIUZUPR-UHFFFAOYSA-N,ALIGN_NIST23_Hexaethylene glycol,ALIGN_NIST23_Hexaethylene glycol,12,49,0.985,169000,257000,342000,375000,348000,116000,50000,20300,22500,18600
1269,1.2368,203.12775,,,,,,,,3,0,,792,844,2960,2810,3050,,,,,565
1271,1.2927,317.19733,,,,,,,,4,0,,1560,1930,2300,2330,2320,986,666,972,1020,
1283,1.2643,347.2041,,,,,,,,3,0,,872,1260,4060,4360,4200,,,,,
1284,1.26,211.14445,,,,,,,,10,53,,45500,44200,21300,23900,23600,34900,36400,36900,33300,38800
1285,1.2627,253.03829,,,,,,,,6,0,,2310,2440,967,888,1080,1500,1850,1750,1830,1820
1292,1.2705,357.13285,,,,,,,,1,0,,,,,,,1770,,,,
2422,5.7288,120.08066,,,"ALIGN_NIST23_1-Phenyl-2,3,4,5-tetrahydro-1H-3-benzazepine-7,8-diol",CCCCCCCCCCCC(NCCC[N+](C)(C)[O-])=O,JNGWKQJZIUZUPR-UHFFFAOYSA-N,ALIGN_NIST23_Phenylalanylphenylalanine,ALIGN_NIST23_Phenylalanylphenylalanine,11,107,0.989,262000,197000,179000,177000,192000,318000,338000,332000,350000,342000
1300,1.2373,157.12204,,,,,,,,3,0,,1190,1490,2660,3170,3470,,,554,,
1726,1.7241,126.09127,[M+H]+,180,ALIGN_NIST23_(2S)-2-(2-Oxo-1-pyrrolidinyl)butanoic acid,CCCCCCCCCCCC(NCCC[N+](C)(C)[O-])=O,JNGWKQJZIUZUPR-UHFFFAOYSA-N,ALIGN_NIST23_(2S)-2-(2-Oxo-1-pyrrolidinyl)butanoic acid,ALIGN_NIST23_(2S)-2-(2-Oxo-1-pyrrolidinyl)butanoic acid,5,13,0.854,9200,10600,4950,5440,4880,297000,282000,288000,289000,272000
1304,1.2737,90.05713,,,,,,,,1,0,,4480,555,786,1130,881,592,720,624,549,
2179,3.8914,137.04569,,,ALIGN_GNPS_HYPOXANTHINE - 70.0 eV,C=1NC2=C(N1)N=CNC2=O,FDGQSTZJBFJUBT-UHFFFAOYSA-N,ALIGN_GNPS_HYPOXANTHINE - 70.0 eV,ALIGN_GNPS_HYPOXANTHINE - 70.0 eV,10,70,0.993,205000,175000,181000,151000,191000,265000,272000,275000,272000,287000
1307,1.2795,210.16976,,,,,,,,2,0,,,,1530,2080,1700,,,,,
1312,1.2926,345.15402,,,,,,,,1,0,,1810,1460,909,808,894,643,566,722,957,765
1313,1.277,231.09947,,,,,,,,3,7,,669,573,9630,10300,9010,,,,,
1317,1.3001,169.13335,,,,,,,,3,0,,1890,1710,1070,770,1110,1470,1480,1670,1590,1440
1318,1.2776,135.10154,,,,,,,,3,0,,872,1370,6280,5540,6220,,,,,
1319,1.2907,211.08257,,,,,,,,6,0,,1940,2060,769,730,745,1800,1520,1520,1550,1790
1320,1.2848,197.12878,,,,,,,,10,0,,7610,9670,3330,3240,3730,6790,6160,7010,6870,7380
1322,1.3074,259.11736,,,,,,,,1,0,,1220,1540,1230,1100,1000,1270,791,753,835,1160
1323,1.3106,181.09609,,,,,,,,7,1,,3050,2880,1290,1270,1240,2120,1990,1980,2030,2080
1324,1.3065,277.12802,,,,,,,,2,0,,1880,2320,1560,1530,1300,1050,1370,1190,935,1350
1325,1.3092,363.16478,,,,,,,,2,0,,1830,1870,1100,968,1180,1120,1050,1300,968,1150
1328,1.3218,433.24273,,,,,,,,1,0,,1510,1680,1100,1080,1180,695,,542,689,564
1329,1.2991,160.07871,,,,,,,,9,7,,4590,4560,1850,2310,2050,3360,3280,3200,3170,3490
1331,1.3034,96.08078,,,,,,,,6,0,,2240,1970,1120,913,1170,1410,1740,1860,1900,1590
1332,1.2976,202.04304,,,,,,,,1,0,,,,,,,1820,1540,1400,1470,1570
1341,1.3201,150.09114,,,,,,,,1,0,,1720,2390,1110,1180,1250,1970,1520,1950,1530,1080
1345,1.3125,178.08606,,,,,,,,6,0,,2280,3070,1530,1610,1580,1860,1730,1840,2230,2360
1372,1.3357,232.10745,,,,,,,,9,3,,2900,4030,3120,3270,3740,2920,2830,3100,3350,2610
1374,1.3679,129.03671,,,,,,,,2,0,,1530,1500,1500,1610,1470,1310,1460,1640,1390,1110
1381,1.3453,132.08066,[M-e]+,156,,,,,,10,1,,3160,3180,2880,2430,2950,2910,2270,2290,2430,2480
1384,1.3458,275.12527,,,,,,,,2,0,,,,1860,1800,1660,,,,,
1387,1.3497,205.14103,[M-H2O+H]+,157,,,,,,3,0,,511,518,2240,1840,2000,,,,,
1388,1.3407,223.14811,[M+H]+,157,,,,,,3,0,,1150,1260,3160,3340,3230,966,898,1130,846,909
1403,1.3658,295.22669,,,,,,,,8,2,,4430,4210,3890,3900,3640,1600,1410,1660,1510,1610
1436,1.3982,161.11705,[M-H2O+H]+,161,,,,,,3,0,,,,6110,6430,6690,,,,,
1440,1.3923,143.10646,,,,,,,,2,0,,644,846,1650,1720,1680,617,501,,,
1575,1.6406,126.09138,,,ALIGN_NIST23_(2S)-2-(2-Oxo-1-pyrrolidinyl)butanoic acid,CCCCCCCCCCCC(NCCC[N+](C)(C)[O-])=O,JNGWKQJZIUZUPR-UHFFFAOYSA-N,ALIGN_NIST23_(2S)-2-(2-Oxo-1-pyrrolidinyl)butanoic acid,ALIGN_NIST23_(2S)-2-(2-Oxo-1-pyrrolidinyl)butanoic acid,10,10,0.902,239000,259000,91400,94900,92700,15300,14000,15600,13500,14700
1449,1.4127,265.03837,,,,,,,,5,0,,1730,1620,1530,1530,1610,1450,1430,1360,1280,1130
2963,7.8322,136.07557,[M+NH4]+,249,ALIGN_NIST23_3-Amino-4-(4-hydroxyphenyl)butyric Acid,CCCCCCCCCCCC(NCCC[N+](C)(C)[O-])=O,JNGWKQJZIUZUPR-UHFFFAOYSA-N,ALIGN_NIST23_DL-Octopamine,ALIGN_NIST23_DL-Octopamine,10,101,0.99,251000,254000,252000,247000,246000,181000,190000,194000,204000,193000
1463,1.4325,332.05843,,,,,,,,10,50,,1920,2190,1810,2380,2180,32000,20800,21100,21200,22500
1473,1.4401,209.12962,,,,,,,,5,0,,2980,2690,2460,2420,2890,2210,2300,2420,2190,2460
2419,5.7276,166.08613,[M+NH4]+,217,ALIGN_GNPS_Phenylalanine - 60.00 eV,C=1C=CC(=CC1)CC(C(O)=O)N,COLNVLDHVKWLRT-UHFFFAOYSA-N,ALIGN_GNPS_Phenylalanine - 60.00 eV,ALIGN_GNPS_Phenylalanine - 60.00 eV,11,126,0.999,206000,163000,156000,152000,167000,204000,211000,229000,245000,214000
1484,1.4702,305.23216,,,,,,,,2,0,,1720,1590,1440,1230,1400,734,1010,867,802,848
1493,1.4565,115.03235,,,,,,,,4,1,,,,,,,,5880,5150,5830,4630
1495,1.4661,159.04718,,,,,,,,2,0,,1920,1810,1630,1720,1770,1440,1410,1490,1410,1880
1497,1.4645,152.0705,,,,,,,,7,0,,1790,1980,1270,1210,1520,1840,1750,1770,1770,1920
1499,1.4614,128.04927,,,,,,,,5,0,,2350,1760,1360,1290,1540,2620,2120,2010,1970,2270
1506,1.479,155.11695,,,,,,,,4,0,,1570,1990,1780,1820,1940,1810,1660,1460,1390,1570
1507,1.492,226.01675,,,,,,,,7,0,,1640,2270,1500,1650,1480,2060,2180,2260,2390,2400
3328,9.2722,132.07659,[M+H]+,291,INHOUSE_CREATINE,CCCCCCCCCCCC(NCCC[N+](C)(C)[O-])=O,JNGWKQJZIUZUPR-UHFFFAOYSA-N,ALIGN_NIST23_Creatine,ALIGN_NIST23_Creatine,10,96,0.972,229000,230000,207000,222000,206000,195000,191000,195000,198000,200000
